"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;


"bundesliga.de - Die offizielle Webseite";3.299.063;2.066.281;63 %;1.232.782;3.299.063;2.066.281;1.232.782;;;;;;;

"Bunte.de";31.176.539;26.712.102;86 %;4.464.437;10.282.884;8.606.788;1.676.096;20.893.655;18.105.314;2.788.341;;;;




"BurdaStyle.de";384.883;283.242;74 %;101.641;384.883;283.242;101.641;;;;;;;

"Busfahrer Magazin";9.043;7.239;80 %;1.804;9.043;7.239;1.804;;;;;;;

"Business Insider Deutschland";13.913.982;11.799.645;85 %;2.114.337;3.963.838;3.317.719;646.119;9.950.144;8.481.926;1.468.218;;;;


"business&more";5.175.420;4.206.209;81 %;969.211;5.175.420;4.206.209;969.211;;;;;;;

"business-on.de";157.768;137.295;87 %;20.473;157.768;137.295;20.473;;;;;;;

"business-wissen.de";513.222;441.676;86 %;71.546;513.222;441.676;71.546;;;;;;;

"BVG";3.240.204;3.140.246;97 %;99.958;3.240.204;3.140.246;99.958;;;;;;;

"BZ-Berlin";7.901.737;7.430.362;94 %;471.375;2.156.457;1.980.855;175.602;5.745.280;5.449.507;295.773;;;;




"cafe-future.net";135.197;110.229;82 %;24.968;109.831;88.154;21.677;25.366;22.075;3.291;;;;


"capital.de";642.397;549.663;86 %;92.734;372.359;310.117;62.242;270.038;239.546;30.492;;;;


"caravaning.de";392.315;350.470;89 %;41.845;195.270;169.085;26.185;197.045;181.385;15.660;;;;




"caraworld.de";358.490;299.204;83 %;59.286;358.490;299.204;59.286;;;;;;;

"Cartoon Network";41.955;30.068;72 %;11.887;41.955;30.068;11.887;;;;;;;

"Cash.Online";122.937;89.263;73 %;33.674;122.937;89.263;33.674;;;;;;;

"ChannelPartner";608.771;538.933;89 %;69.838;508.782;447.285;61.497;99.989;91.648;8.341;;;;


"Chefkoch.de";91.393.402;82.503.208;90 %;8.890.194;27.253.910;23.945.869;3.308.041;64.139.492;58.557.339;5.582.153;;;;




"Chemietechnik.de";41.645;25.565;61 %;16.080;41.645;25.565;16.080;;;;;;;

"CHIP Online";75.973.011;66.161.675;87 %;9.811.336;44.263.752;37.774.295;6.489.457;31.709.259;28.387.380;3.321.879;;;;




